Results of 光度测量1

	Plate: 2.22NADH/NAD - Wavelength: 450

	Iteration: 1
	0.068	0.075	0.105	0.096	0.100	0.099	0.100	0.092	0.096	0.100	0.096	0.072
	0.075	0.111	0.115	0.125	0.143	0.158	0.176	0.225	0.300	0.307	0.255	0.089
	0.076	0.112	0.117	0.126	0.143	0.157	0.176	0.219	0.286	0.331	0.277	0.099
	0.076	0.113	0.119	0.127	0.143	0.158	0.177	0.226	0.287	0.339	0.274	0.095
	0.076	0.110	0.118	0.126	0.152	0.179	0.203	0.266	0.362	0.421	0.390	0.091
	0.075	0.111	0.118	0.129	0.154	0.177	0.204	0.274	0.372	0.430	0.384	0.088
	0.075	0.110	0.117	0.127	0.156	0.184	0.213	0.293	0.417	0.476	0.474	0.093
	0.066	0.076	0.078	0.077	0.078	0.078	0.077	0.078	0.079	0.078	0.077	0.071

	Iteration: 2
	0.068	0.075	0.105	0.097	0.100	0.099	0.100	0.092	0.096	0.100	0.096	0.072
	0.075	0.111	0.115	0.125	0.143	0.159	0.176	0.225	0.301	0.307	0.255	0.089
	0.076	0.112	0.117	0.126	0.143	0.157	0.176	0.218	0.286	0.331	0.277	0.098
	0.076	0.113	0.118	0.126	0.143	0.158	0.177	0.226	0.287	0.340	0.275	0.095
	0.076	0.110	0.118	0.126	0.152	0.178	0.203	0.266	0.362	0.422	0.393	0.091
	0.074	0.111	0.118	0.129	0.154	0.177	0.204	0.275	0.375	0.432	0.389	0.088
	0.075	0.110	0.117	0.127	0.156	0.184	0.213	0.294	0.423	0.485	0.481	0.093
	0.066	0.076	0.077	0.077	0.078	0.078	0.077	0.078	0.078	0.078	0.077	0.072

