Results of 光度测量1

	Plate: 2.22NADH/NAD - Wavelength: 450

	Iteration: 1
	0.042	0.119	0.122	0.118	0.124	0.152	0.176	0.177	0.172	0.187	0.119	0.049
	0.122	0.131	0.130	0.140	0.159	0.163	0.161	0.166	0.177	0.162	0.115	0.114
	0.129	0.132	0.151	0.197	0.228	0.204	0.182	0.232	0.241	0.251	0.115	0.140
	0.128	0.163	0.197	0.370	0.422	0.578	0.621	0.469	0.413	0.635	0.115	0.134
	0.130	0.178	0.134	0.200	0.650	0.750	0.780	0.741	0.961	0.874	0.117	0.148
	0.135	0.161	0.133	0.162	0.375	0.750	0.797	0.849	1.092	0.780	0.120	0.169
	0.125	0.173	0.171	0.183	0.504	0.886	0.967	1.014	1.038	0.801	0.123	0.169
	0.062	0.131	0.140	0.141	0.137	0.136	0.141	0.141	0.142	0.143	0.136	0.071

	Iteration: 2
	0.042	0.121	0.121	0.117	0.124	0.151	0.179	0.178	0.172	0.186	0.116	0.048
	0.122	0.131	0.130	0.140	0.159	0.162	0.162	0.166	0.179	0.164	0.114	0.114
	0.129	0.131	0.151	0.198	0.229	0.207	0.183	0.241	0.250	0.275	0.115	0.140
	0.130	0.159	0.202	0.386	0.422	0.595	0.639	0.471	0.423	0.645	0.115	0.133
	0.133	0.182	0.134	0.208	0.660	0.756	0.779	0.743	0.977	0.879	0.117	0.148
	0.137	0.161	0.132	0.163	0.374	0.750	0.777	0.857	1.091	0.782	0.120	0.170
	0.126	0.174	0.176	0.186	0.516	0.889	0.979	1.030	1.033	0.816	0.122	0.170
	0.061	0.132	0.140	0.143	0.139	0.139	0.143	0.142	0.142	0.144	0.132	0.070

