Results of 光度测量1

	Plate: 2.22NADH/NAD - Wavelength: 450

	Iteration: 1
	0.079	0.097	0.107	0.107	0.120	0.121	0.113	0.119	0.114	0.118	0.116	0.086
	0.097	0.114	0.119	0.146	0.327	0.391	0.505	0.682	0.804	0.901	0.855	0.113
	0.095	0.113	0.118	0.147	0.309	0.382	0.468	0.643	0.796	0.824	0.836	0.110
	0.096	0.116	0.118	0.143	0.320	0.382	0.487	0.673	0.774	0.863	0.903	0.115
	0.094	0.114	0.118	0.147	0.507	0.606	0.687	0.872	1.018	1.081	1.081	0.112
	0.094	0.114	0.118	0.149	0.510	0.644	0.740	0.925	1.049	1.065	1.085	0.118
	0.093	0.112	0.120	0.153	0.531	0.617	0.713	0.894	1.075	1.134	1.093	0.118
	0.078	0.096	0.101	0.100	0.102	0.099	0.102	0.100	0.100	0.100	0.097	0.083

	Iteration: 2
	0.078	0.096	0.107	0.107	0.120	0.120	0.113	0.119	0.115	0.121	0.118	0.085
	0.096	0.114	0.119	0.146	0.327	0.390	0.505	0.683	0.805	0.902	0.857	0.114
	0.094	0.113	0.118	0.146	0.307	0.380	0.467	0.638	0.792	0.827	0.844	0.110
	0.094	0.116	0.118	0.142	0.320	0.381	0.487	0.670	0.770	0.864	0.909	0.116
	0.094	0.114	0.118	0.147	0.505	0.609	0.685	0.874	1.017	1.088	1.095	0.114
	0.095	0.113	0.118	0.149	0.509	0.649	0.745	0.938	1.057	1.076	1.101	0.118
	0.094	0.112	0.119	0.153	0.531	0.616	0.715	0.900	1.085	1.141	1.106	0.119
	0.080	0.097	0.100	0.100	0.101	0.098	0.102	0.101	0.100	0.100	0.098	0.083

